channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-604652,-459026,1325489,-8388608,-8388608,-8388608,-8388608,-8040501,1405293719.289,0
-713681,-527146,-273379,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.294,0
-566526,-432046,1441940,-8388608,-8340437,-8388608,-8388608,-7947468,1405293719.302,0
-745593,-549824,-365249,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.31,0
-549947,-415086,644602,-8388608,-8388608,-8388608,-8388608,-8234047,1405293719.317,0
-753124,-561402,492729,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.322,0
-579761,-434498,412024,-8388608,-8388608,-8388608,-8388608,-8368242,1405293719.331,0
-714325,-533891,746849,-8388608,-8388608,-8388608,-8388608,-8387208,1405293719.338,0
-795106,-584281,-391011,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.344,0
-490251,-374046,1418474,-8388608,-8257151,-8388608,-8388608,-7859369,1405293719.352,0
-806436,-592053,-307621,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.359,0
-488467,-371829,1278258,-8388608,-8308485,-8388608,-8388608,-7913342,1405293719.367,0
-806092,-592512,-159834,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.373,0
-674889,-497287,-149156,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.38,0
-590569,-446606,1348671,-8388608,-8388608,-8388608,-8388608,-8034978,1405293719.388,7
-709622,-521939,-277796,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.395,7
-555224,-422326,1457706,-8388608,-8330252,-8388608,-8388608,-7946468,1405293719.401,7
-775188,-574116,274206,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.408,7
-549754,-413027,618803,-8388608,-8388608,-8388608,-8388608,-8263331,1405293719.417,7
-745487,-553719,526144,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.424,7
-583477,-436322,384884,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.429,7
-710637,-531376,776893,-8388608,-8388608,-8388608,-8388608,-8387146,1405293719.437,7
-799108,-587675,-383671,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.445,7
-495102,-379679,1398762,-8388608,-8272912,-8388608,-8388608,-7885841,1405293719.452,7
-811264,-597249,-294522,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.458,7
-497302,-380552,1247293,-8388608,-8331500,-8388608,-8388608,-7948937,1405293719.466,7
-632956,-478702,1204153,-8388608,-8388608,-8388608,-8388608,-8152277,1405293719.474,7
-687922,-509816,-172990,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.482,7
-594007,-450979,1357741,-8388608,-8388608,-8388608,-8388608,-8047724,1405293719.486,7
-722187,-532846,-300824,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.494,7
-557889,-426267,1463446,-8388608,-8337907,-8388608,-8388608,-7962042,1405293719.503,7
-776641,-577694,307820,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.508,7
-560669,-422329,584069,-8388608,-8388608,-8388608,-8388608,-8301219,1405293719.516,7
-744621,-555511,563408,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.523,7
-593792,-445450,350625,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.53,7
-508223,-390608,1477148,-8388608,-8265371,-8388608,-8388608,-7886290,1405293719.536,7
-803749,-592509,-374653,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.544,7
-498226,-381955,1381824,-8388608,-8287798,-8388608,-8388608,-7910409,1405293719.552,7
-814171,-600962,-274572,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.559,7
-501035,-383263,1222734,-8388608,-8348431,-8388608,-8388608,-7975977,1405293719.565,7
-628438,-475829,1233382,-8388608,-8388608,-8388608,-8388608,-8155973,1405293719.572,7
-694499,-514518,-194829,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.58,7
-590037,-449468,1379891,-8388608,-8388608,-8388608,-8388608,-8052852,1405293719.588,7
-727808,-537511,-312862,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.593,7
-555571,-424562,1474094,-8388608,-8336004,-8388608,-8388608,-7969026,1405293719.601,7
-774211,-576216,341207,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.609,7
-567759,-427949,547667,-8388608,-8388608,-8388608,-8388608,-8331351,1405293719.616,7
-741667,-554570,598437,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.622,7
-599447,-449141,318768,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.63,7
-507844,-389485,1466363,-8388608,-8272325,-8388608,-8388608,-7901362,1405293719.637,7
-806832,-595401,-368514,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.643,7
-499476,-383250,1362310,-8388608,-8299062,-8388608,-8388608,-7930024,1405293719.65,7
-814689,-601741,-260810,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.658,7
